,author,name,pid
12266,Kamal M. Jambi,Kamal M. Jambi,98/2937
12267,Kamalakar Karlapalem,Kamalakar Karlapalem,k/KKarlapalem
12268,Kamalika Chaudhuri,Kamalika Chaudhuri,56/6435
12269,Kambiz Ghazinour,Kambiz Ghazinour,55/854
12270,Kamer Kaya,Kamer Kaya,53/6185
12271,Kamesh Madduri,Kamesh Madduri,06/4766
12272,Kamesh Munagala,Kamesh Munagala,m/KameshMunagala
12273,Kameswari Chebrolu,Kameswari Chebrolu,17/792
12274,Kami E. Vaniea,,
12275,Kami Vaniea,Kami Vaniea,68/581
12276,Kamil Saraç,Kamil Saraç,15/542
12277,Kamlesh Tiwari,Kamlesh Tiwari,38/10702
12278,Kamran Sedig,Kamran Sedig,s/KamranSedig
12279,Kamyar Azizzadenesheli,Kamyar Azizzadenesheli,176/5584
12280,Kan-Le Shi,Kan-Le Shi,02/8075
12281,Kana Shimizu,Kana Shimizu,63/1928
12282,Kanad Ghose,Kanad Ghose,93/4616
12283,Kanchan Manna,Kanchan Manna,26/7685
12284,Kanchana Thilakarathna,Kanchana Thilakarathna,92/10700
12285,Kanchi Gopinath,K. Gopinath,48/2735
12286,Kang Chen,Kang Chen,91/6670
12287,Kang G. Shin,Kang G. Shin,s/KangGShin
12288,Kang Li 0001,Kang Li 0001,l/KangLi1
12289,Kang Liu 0001,Kang Liu 0001,42/4903
12290,Kang Wook Lee 0001,Kangwook Lee 0001,88/9826-1
12291,Kang Zhang 0001,Kang Zhang 0001,29/177-1
12292,Kang-Min Kim,Kang-Min Kim,177/3014
12293,KangKang Yin,KangKang Yin,59/6741
12294,Kangjie Lu,Kangjie Lu,67/10639
12295,Kangkook Jee,Kangkook Jee,36/10085
12296,Kangwook Lee 0001,Kangwook Lee 0001,88/9826-1
12297,Kannan Ramchandran,Kannan Ramchandran,53/5765
12298,Kannan Srinathan,K. Srinathan,s/KSrinathan
12299,Kannan Srinivasan 0001,Kannan Srinivasan 0001,73/1997-1
12300,Kannappan Palaniappan,Kannappan Palaniappan,21/700
12301,Kanstantsin Pashkovich,Kanstantsin Pashkovich,70/8229
12302,Kanta Matsuura,Kanta Matsuura,43/2398
12303,Kaoru Sezaki,Kaoru Sezaki,46/2349
12304,Kapil Ahuja,Kapil Ahuja,77/1128
12305,Karan Singh,Karan Singh,00/505
12306,Kareem Darwish,Kareem Darwish,13/5913
12307,Karel Pala,Karel Pala,43/1942
12308,Karel Zimmermann,Karel Zimmermann,06/116
12309,Karem A. Sakallah,Karem A. Sakallah,34/5374
12310,Karen Daniels,Karen Daniels,00/3380
12311,Karen Davis,Karen Davis,208/6791
12312,Karen E. Petrie,Karen E. Petrie,69/1977
12313,Karen Elizabeth Petrie,Karen E. Petrie,69/1977
12314,Karen Kear,Karen Kear,29/7836
12315,Karen L. Karavanic,Karen L. Karavanic,57/1941
12316,Karen L. Reid,Karen L. Reid,60/3547
12317,Karen Livescu,Karen Livescu,51/2464
12318,Karen O. Egiazarian,Karen O. Egiazarian,e/KOEgiazarian
12319,Karen Renaud,Karen Renaud,r/KarenRenaud
12320,Karen Vera Renaud,Karen Renaud,r/KarenRenaud
12321,Karen Yeung,Karen Yeung,42/7973
12322,Kari Smolander,Kari Smolander,50/6770
12323,Kari Systä,Kari Systä,23/589
12324,Karianne Bergen,Karianne Bergen,186/1707
12325,Karianne J. Bergen,Karianne Bergen,186/1707
12326,Karim Ali 0001,Karim Ali 0001,22/7271-1
12327,Karim Djemame,Karim Djemame,31/587
12328,Karin A. Hummel,Karin Anna Hummel,h/KarinAnnaHummel
12329,Karin Anna Hummel,Karin Anna Hummel,h/KarinAnnaHummel
12330,Karin Becker,Karin Becker,00/3080
12331,Karin Harbusch,Karin Harbusch,h/KarinHarbusch
12332,Karin M. Verspoor,Karin Verspoor,07/6465
12333,Karin Verspoor,Karin Verspoor,07/6465
12334,Karin Verspoor 0001,,
12335,Karina S. Machado,Karina S. Machado,31/6394
12336,Karina Santos Machado,Karina S. Machado,31/6394
12337,Karina Valdivia Delgado,Karina Valdivia Delgado,30/6146
12338,Karina dos Santos Machado,Karina S. Machado,31/6394
12339,Karl Aberer,Karl Aberer,a/KarlAberer
12340,Karl Anton Froeschl,Karl Anton Froeschl,25/6987
12341,Karl Anton Fröschl,Karl Anton Froeschl,25/6987
12342,Karl Bringmann,Karl Bringmann,96/2643
12343,Karl Christoph Ruland,Christoph Ruland,45/1339
12344,Karl Crary,Karl Crary,82/5193
12345,Karl F. MacDorman,Karl F. MacDorman,m/KarlFMacDorman
12346,Karl Frederic MacDorman,Karl F. MacDorman,m/KarlFMacDorman
12347,Karl Friehs,Karl Friehs,14/7108
12348,Karl J. Lieberherr,Karl J. Lieberherr,l/KJLieberherr
12349,Karl Meerbergen,Karl Meerbergen,10/3664
12350,Karl Meinke,Karl Meinke,70/1381
12351,Karl N. Levitt,Karl N. Levitt,l/KarlNLevitt
12352,Karl Rohr,Karl Rohr,69/2417
12353,Karl Stratos,Karl Stratos,07/11293
12354,Karl Tuyls,Karl Tuyls,t/KTuyls
12355,Karl Wüst,Karl Wüst,181/1565
12356,Karl-Erik Årzen,Karl-Erik Årzén,61/6056
12357,Karl-Heinz Zimmermann,Karl-Heinz Zimmermann,05/5338
12358,Karl-Rudolf Moll,Karl-Rudolf Moll,36/6831
12359,Karol Myszkowski [INF],,
12360,Karon E. MacLean,Karon E. MacLean,59/3596
12361,Karrie G. Karahalios,Karrie Karahalios,64/4500
12362,Karrie Karahalios,Karrie Karahalios,64/4500
12363,Karsten Berns,Karsten Berns,b/KBerns
12364,Karsten Kahl,Karsten Kahl,66/9464
12365,Karsten Lundqvist,Karsten Lundqvist,88/10831
12366,Karsten Schmidt 0004,Karsten Wolf,w/KarstenWolf
12367,Karsten Weihe,Karsten Weihe,w/KarstenWeihe
12368,Karsten Wolf,Karsten Wolf,w/KarstenWolf
12369,Karsten Øster Lundqvist,Karsten Lundqvist,88/10831
12370,Karteek Sreenivasaiah,Karteek Sreenivasaiah,16/9960
12371,Karthekeyan Chandrasekaran,Karthekeyan Chandrasekaran,83/1935
12372,Karthik C. S.,Karthik C. S.,70/9222
12373,Karthik Dantu,Karthik Dantu,89/1614
12374,Karthik Nandakumar,Karthik Nandakumar,83/3874
12375,Karthik Narasimhan,Karthik Narasimhan,147/0322
12376,Karthik Pattabiraman,Karthik Pattabiraman,91/5344
12377,Karthik R. Narasimhan,Karthik Narasimhan,147/0322
12378,Karthik Sridharan,Karthik Sridharan,s/KarthikSridharan
12379,Karthika Mohan,Karthika Mohan,92/8278
12380,Karthikeyan Sankaralingam,Karthikeyan Sankaralingam,22/858
12381,Kartik Gopalan,Kartik Gopalan,67/3923
12382,Kartik Nagar,Kartik Nagar,120/1805
12383,Kartik Nayak,Kartik Nayak,143/4459
12384,Kartikeya Mayaram,Kartikeya Mayaram,70/4084
12385,Karu Sankaralingam,Karthikeyan Sankaralingam,22/858
12386,Kashif Munir,Kashif Munir,70/7449
12387,Kasim Selçuk Candan,K. Selçuk Candan,c/KSelcukCandan
12388,Kasim Sinan Yildirim,Kasim Sinan Yildirim,128/5339
12389,Kasim Terzic,Kasim Terzic,86/5749
12390,Kasper Bonne Rasmussen,Kasper Bonne Rasmussen,01/4779
12391,Kasper Dalgaard Larsen,Kasper Green Larsen,07/6242
12392,Kasper Green Larsen,Kasper Green Larsen,07/6242
12393,Kasper Hornbæk,Kasper Hornbæk,07/848
12394,Kasper Rasmussen,Kasper Rasmussen,01/4779
12395,Kasper Støy,Kasper Støy,16/6577
12396,Kassem Fawaz,Kassem Fawaz,97/535
12397,Kasturi R. Varadarajan,Kasturi R. Varadarajan,v/KasturiRVaradarajan
12398,Kasım Sinan Yildirim,Kasim Sinan Yildirim,128/5339
12399,Katarzyna Budzynska,Katarzyna Budzynska,89/6999
12400,Katarzyna E. Paluch,Katarzyna E. Paluch 0001,p/KatarzynaEPaluch
12401,Katarzyna Paluch,,
12402,Katarzyna Stawarz,Katarzyna Stawarz,72/11412
12403,Katarzyna Wac,Katarzyna Wac,79/6635
12404,Katayoun Farrahi,Katayoun Farrahi,26/4198
12405,Kate Ching-Ju Lin,Kate Ching-Ju Lin,16/656
12406,Kate Hone,Kate Hone,h/KateSHone
12407,Kate Howland,Katherine Howland,57/1668
12408,Kate Isaacs,Katherine E. Isaacs,120/5258
12409,Kate Larson,Kate Larson,27/3591
12410,Kate S. Hone,Kate S. Hone,h/KateSHone
12411,Kate Saenko,Kate Saenko,88/2754
12412,Katerina Fragkiadaki,Katerina Fragkiadaki,21/8780
12413,Katerina Goseva-Popstojanova,Katerina Goseva-Popstojanova,g/KaterinaGosevaPopstojanova
12414,Katerina J. Argyraki,Katerina J. Argyraki,71/6861
12415,Katerina Mitrokotsa,Aikaterini Mitrokotsa,22/417
12416,Katerina Stankova,Katerina Stankova,54/10016
12417,Katerina Stanková,Katerina Stankova,54/10016
12418,Katharina Anna Lehmann,Katharina Anna Zweig,l/KatharinaAnnaLehmann
12419,Katharina Anna Zweig,Katharina Anna Zweig,l/KatharinaAnnaLehmann
12420,Katharina E. Kinder-Kurlanda,Katharina Kinder-Kurlanda,138/5014
12421,Katharina Kann,Katharina Kann,182/1923
12422,Katharina Kinder-Kurlanda,Katharina Kinder-Kurlanda,138/5014
12423,Katharina Kohls,Katharina Kohls,155/5132
12424,Katharina Krombholz,Katharina Krombholz,128/4803
12425,Katharina Morik,Katharina Morik,m/KatharinaMorik
12426,Katharina Reinecke,Katharina Reinecke,33/318
12427,Katharina Siobhan Kohls,Katharina Kohls,155/5132
12428,Katherine A. Daniel,,
12429,Katherine A. Yelick,Katherine A. Yelick,y/KAYelick
12430,Katherine E. Isaacs,Katherine E. Isaacs,120/5258
12431,Katherine Heller,Katherine Heller,227/2365
12432,Katherine Howland,Katherine Howland,57/1668
12433,Katherine Isaacs,Katherine E. Isaacs,120/5258
12434,Katherine Isbister,Katherine Isbister,82/1577
12435,Katherine J. Kuchenbecker [IS],,
12436,Katherine St. John,Katherine St. John,18/4437
12437,Kathleen Creel,Kathleen Creel,249/6794
12438,Kathleen F. McCoy,Kathleen F. McCoy,m/KathleenFMcCoy
12439,Kathleen Gray,Kathleen Gray,22/3156
12440,Kathleen M. Carley,Kathleen M. Carley,72/6492
12441,Kathleen McKeown,Kathy McKeown,m/KathleenMcKeown
12442,Kathleen R. McKeown,Kathy McKeown,m/KathleenMcKeown
12443,Kathleen Steinhöfel,Kathleen Steinhöfel,29/3533
12444,Kathrin Gerling,Kathrin Maria Gerling,02/9524
12445,Kathrin Klamroth,Kathrin Klamroth,k/KathrinKlamroth
12446,Kathrin Maria Gerling,Kathrin Maria Gerling,02/9524
12447,Kathryn E. Jones,Kathryn Elizabeth Jones,170/6866
12448,Kathryn E. Ringland,Kathryn E. Ringland,128/9508
12449,Kathryn Elizabeth Jones,Kathryn Elizabeth Jones,170/6866
12450,Kathryn Ringland,Kathryn E. Ringland,128/9508
12451,Kathryn T. Stolee,Kathryn T. Stolee,26/694
12452,Kathy McGrath,Kathy McGrath,08/1193
12453,Kathy McKeown,Kathy McKeown,m/KathleenMcKeown
12454,Kathy Yelick,Katherine A. Yelick,y/KAYelick
12455,Kati Kuusinen,Kati Kuusinen,118/9591
12456,Katia Obraczka,Katia Obraczka,o/KatiaObraczka
12457,Katie A. Siek,Katie A. Siek,04/4400
12458,Katie Atkinson,Katie Atkinson,17/6670
12459,Katie Bentley,Katie Bentley,47/4183
12460,Katie Moor,Katie A. Siek,04/4400
12461,Katinka Wolter,Katinka Wolter,10/5050
12462,Katja D. Mombaur,Katja D. Mombaur,00/5997
12463,Katja Daniela Mombaur,Katja D. Mombaur,00/5997
12464,Katja Hose,Katja Hose,h/KatjaHose
12465,Katja Nieselt,Kay Nieselt,29/2209
12466,Katrien Verbert,Katrien Verbert,52/6970
12467,Katrin Erk,Katrin Erk,23/556
12468,Katrin S. Lohan,Katrin S. Lohan,75/11050
12469,Katrin Solveig Lohan,Katrin S. Lohan,75/11050
12470,Katrina Faulkner,,
12471,Katrina Ligett,Katrina Ligett,76/3876
12472,Katrina Ysabel Solomon,Katrina Ysabel Solomon,174/4513
12473,Katrine Meldgaard Kjær,Katrine Meldgaard Kjær,264/7988
12474,Katsuhiko Gondow,Katsuhiko Gondow,81/1657
12475,Katsumi Inoue,Katsumi Inoue,i/KatsumiInoue
12476,Katsuro Inoue,Katsuro Inoue,33/779
12477,Katy Börner,Katy Börner,b/KatyBorner
12478,Katy Howland,Katherine Howland,57/1668
12479,Kaushal K. Shukla,Kaushal K. Shukla,56/10402
12480,Kaushal Kumar Shukla,Kaushal K. Shukla,56/10402
12481,Kaushik Sinha,Kaushik Sinha,64/2141
12482,Kaveh Razavi,Kaveh Razavi,121/2685
12483,Kavi Arya,Kavi Arya,29/4933
12484,Kavita Bala,Kavita Bala,b/KavitaBala
12485,Kavita Vemuri,Kavita Vemuri,165/3944
12486,Kay A. Robbins,Kay A. Robbins,72/3277
12487,Kay C. Wiese,Kay C. Wiese,w/KayCWiese
12488,Kay Connelly,Kay Connelly,c/KayConnelly
12489,Kay H. Connelly,Kay Connelly,c/KayConnelly
12490,Kay Katja Nieselt,Kay Nieselt,29/2209
12491,Kay Nieselt,Kay Nieselt,29/2209
12492,Kay Nieselt-Struwe,Kay Nieselt,29/2209
12493,Kay Robbins,Kay A. Robbins,72/3277
12494,Kayhan Batmanghelich,Kayhan Batmanghelich,38/193
12495,Kayhan M. Imre,Kayhan M. Imre,49/10023
12496,Kayhan N. Batmanghelich,Kayhan Batmanghelich,38/193
12497,Kayla Booth,Kayla M. Booth,163/4684
12498,Kayla M. Booth,Kayla M. Booth,163/4684
12499,Kayvon Fatahalian,Kayvon Fatahalian,11/3211
12500,Kazem Taghva,Kazem Taghva,35/5977
12501,Kazuhiko Kato,Kazuhiko Kato,83/4869
12502,Kazuhiro Fukui,Kazuhiro Fukui,01/1485
12503,Kazunori Ueda,Kazunori Ueda,u/KazunoriUeda
12504,Kazuo Yano,Kazuo Yano,45/5678
12505,Kazuto Fukuchi,Kazuto Fukuchi,133/7753
12506,Kazuyoshi Takagi,Kazuyoshi Takagi,25/599
12507,Kazuyoshi Yoshii,Kazuyoshi Yoshii,84/4993
12508,Kazuyuki Aihara,Kazuyuki Aihara,25/6773
12509,Kazuyuki Shudo,Kazuyuki Shudo,53/4994
12510,Kazuyuki Yagasaki,Kazuyuki Yagasaki,63/5453
12511,Ke Chen 0005,Ke Chen 0005,47/6529-5
12512,Ke Deng,Ke Deng,97/1199
12513,Ke Li 0001,Ke Li 0001,75/6627-1
12514,Ke Li 0011,Ke Li 0011,75/6627-11
12515,Ke Lu 0001,Ke Lu 0001,33/1254-1
12516,Ke Qin,Ke Qin,86/3966
12517,Ke Shang,Ke Shang,123/0445
12518,Ke Tang,Ke Tang,50/3146
12519,Ke Wang 0001,Ke Wang 0001,w/KeWang
12520,Ke Wei,Ke Wei,97/6797
12521,Ke Xie 0001,Ke Xie 0001,44/2171-1
12522,Ke Xu 0001,Ke Xu 0001,x/KeXu
12523,Ke Xu 0002,Ke Xu 0002,181/2626-2
12524,Ke Yi 0001,Ke Yi 0001,43/1219-1
12525,Ke Zhou 0001,Ke Zhou 0001,78/2949-1
12526,Ke Zhou 0003,Ke Zhou 0003,78/2949-3
12527,Ke-jun Zhang,Kejun Zhang,18/584
12528,Kecheng Yang 0001,Kecheng Yang 0001,137/0299-1
12529,Kede Ma,Kede Ma,127/1809
12530,Kee Siong Ng,Kee Siong Ng,58/3298
12531,Kee-Eung Kim,Kee-Eung Kim,35/6703
12532,Keenan Crane,Keenan Crane,54/3414
12533,Kees Huizing,Cornelis Huizing,h/CornelisHuizing
12534,Kees Joost Batenburg,Kees Joost Batenburg,30/6502
12535,Keh-Hsun Chen,Keh-Hsun Chen,79/1230
12536,Kehai Chen,Kehai Chen,78/9623
12537,Kehua Yang,Kehua Yang,72/2367
12538,Kei Okada,Kei Okada,46/5077
12539,Keiichi Zempo,Keiichi Zempo,190/3105
12540,Keiji Kimura,Keiji Kimura,98/3672
12541,Keijo Heljanko,Keijo Heljanko,h/KeijoHeljanko
12542,Keishi Tajima,Keishi Tajima,t/KeishiTajima
12543,Keisuke Tanaka,Keisuke Tanaka,62/6540
12544,Keith Andrews,Keith Andrews,73/5332
12545,Keith B. Gallagher,Keith B. Gallagher,g/KBGallagher
12546,Keith Brian Gallagher,Keith B. Gallagher,g/KBGallagher
12547,Keith Bugeja,Keith Bugeja,85/10490
12548,Keith Cheverst,Keith Cheverst,38/6098
12549,Keith D. Cooper,Keith D. Cooper,c/KeithDCooper
12550,Keith Decker,Keith S. Decker,d/KSDecker
12551,Keith Edwards,Keith Edwards,18/2912
12552,Keith Gallagher,Keith B. Gallagher,g/KBGallagher
12553,Keith M. Martin,Keith M. Martin,59/6448
12554,Keith Mannock,Keith Mannock,01/422
12555,Keith Marzullo,Keith Marzullo,m/KMarzullo
12556,Keith Mayes,Keith Mayes,75/269
12557,Keith S. Decker,Keith S. Decker,d/KSDecker
12558,Keith Soo,,
12559,Keith Vertanen,Keith Vertanen,82/5076
12560,Keith W. Cheverst,Keith Cheverst,38/6098
12561,Keith W. Ross,Keith W. Ross,r/KWRoss
12562,Keith Winstein,Keith Winstein,38/11404
12563,Keivan Navaie,Keivan Navaie,10/5235
12564,Kejun Huang,Kejun Huang,140/8874
12565,Kejun Zhang,Kejun Zhang,18/584
12566,Kelin Kuhn,Kelin Kuhn,19/9704
12567,Kelly A. Lyons,Kelly A. Lyons,96/4108
12568,Kelly Androutsopoulos,Kelly Androutsopoulos,10/3501
12569,Kelly Blincoe,Kelly Blincoe,50/10438
12570,Kelly Caine,Kelly Caine,87/1275
12571,Kelly E. Caine,Kelly Caine,87/1275
12572,Kelly Garcés,Kelly Garcés,88/7082
12573,Kelly Lyons,,
12574,Kelly Rosa Braghetto,Kelly Rosa Braghetto,00/2863
12575,Kemafor Anyanwu-Ogan,Kemafor Anyanwu-Ogan,182/2054
12576,Kemafor Ogan,Kemafor Ogan,143/7150
12577,Kemal Akkaya,Kemal Akkaya,88/755
12578,Kemal Oflazer,Kemal Oflazer,95/1344
12579,Kemao Qian,Kemao Qian,78/6459
12580,Ken Anderson 0001,Kenneth M. Anderson,32/3820
12581,Ken Barker 0001,Ken Barker 0001,b/KenBarker1
12582,Ken Birman,Kenneth P. Birman,b/KPBirman
12583,Ken Friis Larsen,Ken Friis Larsen,60/6507
12584,Ken Goldberg,Ken Goldberg,g/KennethYGoldberg
12585,Ken Koedinger,Kenneth R. Koedinger,93/3741
12586,Ken Mattsson,Ken Mattsson,46/6561
12587,Ken Mercer,Ken Mercer,161/0708
12588,Ken Mitchell,Ken Mitchell,32/6517
12589,Ken Nakagaki,Ken Nakagaki,93/10540
12590,Ken Perlin,Ken Perlin,p/KenPerlin
12591,Ken Pfeuffer,Ken Pfeuffer,83/8359
12592,Ken S. Stevens,Ken S. Stevens,48/5524
12593,Ken S. Thomas,Ken S. Thomas,92/4402
12594,Ken Salem,Kenneth Salem,s/KennethSalem
12595,Ken Umeno,Ken Umeno,10/4779
12596,Ken Wakita,Ken Wakita,63/5952
12597,Ken Wing-Kin Sung,Wing-Kin Sung,s/WingKinSung
12598,Ken Wong 0001,Kenny Wong,25/5739
12599,Ken-ichi Fukui,Ken-ichi Fukui,40/4784
12600,Kendall E. Nygard,Kendall E. Nygard,20/47
12601,Kendra Cooper,,
12602,Kendra M. L. Cooper,Kendra M. L. Cooper,85/5392
12603,Kenichiro Tanaka,Kenichiro Tanaka,08/2285
12604,Kening Zhu,Kening Zhu,33/7597
12605,Kenji Kashima,Kenji Kashima,40/3753
12606,Kenji Kise,Kenji Kise,00/3787
12607,Kenji Kono,Kenji Kono,57/3958
12608,Kenji Sagae,Kenji Sagae,18/141
12609,Kenji Suzuki 0002,Kenji Suzuki 0002,99/5441-2
12610,Kenji Yamanishi,Kenji Yamanishi,88/5479
12611,Kenji Yoshigoe,Kenji Yoshigoe,85/905
12612,Kenjiro Taura,Kenjiro Taura,42/1786
12613,Kenli Li 0001,Kenli Li 0001,l/KenliLi
12614,Kenneth A. Berman,Kenneth A. Berman,65/2382
12615,Kenneth A. De Jong,Kenneth A. De Jong,37/3997
12616,Kenneth A. Ross,Kenneth A. Ross,r/KARoss
12617,Kenneth Alan Stafford,,
12618,Kenneth B. Kent,Kenneth B. Kent,k/KennethBKent
12619,Kenneth Chiu,Kenneth Chiu,65/4238
12620,Kenneth Christensen,Kenneth Christensen,174/7533
12621,Kenneth D. Forbus,Kenneth D. Forbus,f/KDForbus
12622,Kenneth Demarest,Kenneth Demarest,32/9628
12623,Kenneth E. Jansen,Kenneth E. Jansen,71/1769
12624,Kenneth F. Galloway,Kenneth F. Galloway,05/3776
12625,Kenneth Fletcher,Kenneth Fletcher,194/2047
12626,Kenneth G. Paterson,Kenneth G. Paterson,39/780
12627,Kenneth Heafield,Kenneth Heafield,81/3540
12628,Kenneth J. Rodham,Kenneth J. Rodham,84/5820
12629,Kenneth J. Supowit,Kenneth J. Supowit,03/4374
12630,Kenneth Joseph,Kenneth Joseph,126/6273
12631,Kenneth L. Calvert,Kenneth L. Calvert,99/4063
12632,Kenneth L. McMillan,Kenneth L. McMillan,m/KennethLMcMillan
12633,Kenneth M. Anderson,Kenneth M. Anderson,32/3820
12634,Kenneth M. Dawson-Howe,Kenneth M. Dawson-Howe,73/291
12635,Kenneth M. Hopkinson,Kenneth M. Hopkinson,14/2579
12636,Kenneth Mark Anderson,Kenneth M. Anderson,32/3820
12637,Kenneth P. Birman,Kenneth P. Birman,b/KPBirman
12638,Kenneth R. Jackson,Kenneth R. Jackson,36/4441
12639,Kenneth R. Koedinger,Kenneth R. Koedinger,93/3741
12640,Kenneth S. Stevens,Kenneth S. Stevens,48/5524
12641,Kenneth Salem,Kenneth Salem,s/KennethSalem
12642,Kenneth Salisbury,John Kenneth Salisbury Jr.,s/JohnKennethSalisburyJr
12643,Kenneth W. Regan,Kenneth W. Regan,r/KWRegan
12644,Kenneth Wai-Ting Leung,Kenneth Wai-Ting Leung,51/4238
12645,Kenneth Wingate Regan,Kenneth W. Regan,r/KWRegan
12646,Kenneth Y. Goldberg,Kenneth Y. Goldberg,g/KennethYGoldberg
12647,Kenny Erleben,Kenny Erleben,88/4453
12648,Kenny Paterson,Kenneth G. Paterson,39/780
12649,Kenny Q. Zhu,Kenny Q. Zhu,z/KennyQiliZhu
12650,Kenny Qili Zhu,Kenny Q. Zhu,z/KennyQiliZhu
12651,Kenny Wong,Kenny Wong,25/5739
12652,Kensuke Aishima,Kensuke Aishima,52/9298
12653,Kensuke Harada,Kensuke Harada,18/3462
12654,Kent E. Seamons,Kent E. Seamons,s/KentESeamons
12655,Kent Quanrud,Kent Quanrud,157/8351
12656,Kenta Nakai,Kenta Nakai,38/6619
12657,Kentaro Shimizu,Kentaro Shimizu,95/671
12658,Keon Jang [SWS],,
12659,Keqin Li 0001,Keqin Li 0001,l/KeqinLi
12660,Keren Censor,Keren Censor-Hillel,91/5597
12661,Keren Censor-Hillel,Keren Censor-Hillel,91/5597
12662,Kerri Morgan,Kerri Morgan,98/316
12663,Kerry L. Taylor,Kerry L. Taylor,29/1964
12664,Kerry Taylor,Kerry L. Taylor,29/1964
12665,Kerstin Bach,Kerstin Bach,03/6214
12666,Kerstin Eder,Kerstin Eder,56/6082
12667,Kerstin I. Eder,Kerstin Eder,56/6082
12668,Kerstin Lenk,Kerstin Lenk,35/7963
12669,Kerstin Maike Strecker,Kerstin Strecker,96/7581
12670,Kerstin Schill,Kerstin Schill,01/2854
12671,Kerstin Strecker,Kerstin Strecker,96/7581
12672,Ketan D. Mulmuley,Ketan Mulmuley,41/2196
12673,Ketan Mayer-Patel,Ketan Mayer-Patel,m/KetanMayerPatel
12674,Ketan Meyer-Patel,Ketan Mayer-Patel,m/KetanMayerPatel
12675,Ketan Mulmuley,Ketan Mulmuley,41/2196
12676,Ketan Patel,Ketan Patel,283/9871
12677,Ketan Patel 0001,Ketan Mayer-Patel,m/KetanMayerPatel
12678,Ketil Malde,Ketil Malde,99/3869
12679,Keting Jia,Keting Jia,51/7169
12680,Keval Vora,Keval Vora,147/2265
12681,Kevin B. Korb,Kevin B. Korb,97/3195
12682,Kevin Bierre,Kevin Bierre,76/9791
12683,Kevin Borgolte,Kevin Borgolte,136/8461
12684,Kevin Bryson,Kevin Bryson,33/904
12685,Kevin Buchin,Kevin Buchin,50/165
12686,Kevin C. Almeroth,Kevin C. Almeroth,05/5182
12687,Kevin Chang 0001,Kevin Chen-Chuan Chang,c/KCCChang
12688,Kevin Chen-Chuan Chang,Kevin Chen-Chuan Chang,c/KCCChang
12689,Kevin D. Seppi,Kevin D. Seppi,33/1885
12690,Kevin Elphinstone,Kevin Elphinstone,e/KElphinstone
12691,Kevin Fu,Kevin Fu,f/KevinFu
12692,Kevin G. Jamieson,Kevin G. Jamieson,85/10260
12693,Kevin Gimpel,Kevin Gimpel,47/1252
12694,Kevin J. Compton,Kevin J. Compton,07/1484
12695,Kevin Jamieson 0001,Kevin G. Jamieson,85/10260
12696,Kevin Jeffay,Kevin Jeffay,j/KevinJeffay
12697,Kevin K. Y. Kuan,Kevin K. Y. Kuan,39/8293
12698,Kevin Lano,Kevin Lano,27/4190
12699,Kevin Leach,Kevin Leach,133/3698
12700,Kevin Leyton-Brown,Kevin Leyton-Brown,81/1149
12701,Kevin Liu,Kevin Liu,01/1638
12702,Kevin Moran,Kevin Moran,151/7453
12703,Kevin Ponto,Kevin Ponto,49/5491
12704,Kevin R. B. Butler,Kevin R. B. Butler,82/1935
12705,Kevin Schneider,Kevin Schneider,71/1332
12706,Kevin Skadron,Kevin Skadron,s/KevinSkadron
12707,Kevin Smith,Kevin Smith,07/4241
12708,Kevin Stanley,Kevin Stanley,03/4491
12709,Kevin Sullivan,Kevin Sullivan,50/5623
12710,Kevin Tomsovic,Kevin Tomsovic,89/2974
12711,Kevin Vella,Kevin Vella,38/1157
12712,Kevin Verbeek,Kevin Verbeek,79/4748
12713,Kevin W. Bowyer,Kevin W. Bowyer,b/KevinWBowyer
12714,Kevin W. Hamlen,Kevin W. Hamlen,60/1400
12715,Kevin Waugh,Kevin Waugh,96/4074
12716,Kevin Y. Yip,Kevin Y. Yip,86/2270
12717,Kevyn Collins-Thompson,Kevyn Collins-Thompson,42/4842
12718,Kewei Tu,Kewei Tu,22/918
12719,Key-Sun Choi,Key-Sun Choi,97/6969
12720,Keze Wang,Keze Wang,135/4889
12721,Keziban Orman,Keziban Orman,182/1562
12722,Kfir Y. Levy,Kfir Y. Levy,83/11388
12723,Kfir Yehuda Levy,Kfir Y. Levy,83/11388
12724,Khai N. Truong,Khai N. Truong,31/5694
12725,Khair Eddin Sabri,Khair Eddin Sabri,94/2918
12726,Khairi Reda,Khairi Reda,04/9846
12727,Khaled B. Shaban,Khaled B. Shaban,20/835
12728,Khaled Bashir Shaban,Khaled B. Shaban,20/835
12729,Khaled Harfoush,Khaled Harfoush,13/13
12730,Khaled Khan,Khaled Khan,263/7713
12731,Khaled M. Elbassioni,Khaled M. Elbassioni,82/4645
12732,Khaled M. Khan,Khaled M. Khan,57/3323
12733,Khaled M. Rasheed,Khaled Rasheed,r/KhaledRasheed
12734,Khaled Md. Khan,Khaled M. Khan,57/3323
12735,Khaled N. Khasawneh,Khaled N. Khasawneh,169/7381
12736,Khaled Rasheed,Khaled Rasheed,r/KhaledRasheed
12737,Khaled Shaban,Khaled Shaban,264/9199
12738,Khalid A. Qaraqe,Khalid A. Qaraqe,11/6615
12739,Khalid Alsubhi,Khalid Alsubhi,10/1467
12740,Khalid Elgazzar,Khalid Elgazzar,92/7480
12741,Khalid Mahmood 0003,Khalid Mahmood 0003,143/5718
