82/5790;Eero Hyvönen;Aalto University;fi;https://seco.cs.aalto.fi/u/eahyvone;FqbJBcsAAAAJ
a/TAura;Tuomas Aura;Aalto University;fi;https://people.aalto.fi/new/tuomas.aura;izj4P5gAAAAJ
71/4075;Jaakko Lehtinen;Aalto University;fi;https://mediatech.aalto.fi/~jaakko;Vpr6s3sAAAAJ
123/7231;Elisa D. Mekler;Aalto University;fi;https://www.aalto.fi/en/people/elisa-mekler;9j30OywAAAAJ
66/8824;Alexandru Paler;Aalto University;fi;https://research.aalto.fi/en/persons/alexandru-paler;WmghO7UAAAAJ
45/6349;Kimmo K. Kaski;Aalto University;fi;https://people.aalto.fi/kimmo_kaski;Cpay6fYAAAAJ
91/7866;Alex Jung;Aalto University;fi;https://users.aalto.fi/~junga1;mHjdZdwAAAAJ
57/5480;Aki Vehtari;Aalto University;fi;https://users.aalto.fi/~ave;tYgN0GsAAAAJ
57/4591;Marko H. T. Nieminen;Aalto University;fi;https://users.aalto.fi/~mhtn/home;ouIgYzsAAAAJ
87/7522;Sampsa Hyysalo;Aalto University;fi;https://inuse.fi/people/sampsa-hyysalo;Uzl_pPYAAAAJ
19/6819;Eljas Soisalon-Soininen;Aalto University;fi;https://people.aalto.fi/new/eljas.soisalon-soininen;NOSCHOLARPAGE
18/2922;Marjo Kauppinen;Aalto University;fi;https://people.aalto.fi/new/marjo.kauppinen;Wo8x6EUAAAAJ
n/IlkkaNiemela;Ilkka Niemelä;Aalto University;fi;http://users.ics.aalto.fi/~ini;NOSCHOLARPAGE
85/4466;Harri Lähdesmäki;Aalto University;fi;https://users.ics.aalto.fi/harrila;NOSCHOLARPAGE
65/1182;Janne Lindqvist;Aalto University;fi;https://www.lindqvistlab.org;rOW28UoAAAAJ
65/3601;Jussi Rintanen;Aalto University;fi;https://research.aalto.fi/en/persons/jussi-rintanen;wZJS52UAAAAJ
221/2219;Stéphane Deny;Aalto University;fi;https://research.aalto.fi/en/persons/stephane-deny;Z3jU6mQAAAAJ
11/5050;Lauri Malmi;Aalto University;fi;http://www.cs.hut.fi/~lma;uKJ_WV4AAAAJ
80/1772;Jukka Suomela;Aalto University;fi;https://jukkasuomela.fi;hTZOWl8AAAAJ
80/3282;Virpi Roto;Aalto University;fi;http://www.allaboutux.org/virpiroto;KntdFBMAAAAJ
